"ingredient","merchant","location","count","effect","weight","value"
"Spore Pod","Danoso Andrano","Ald'ruhn, Temple","10","Drain Strength, Drain Fatigue, Detect Key, Paralyze","0.1","1"
"Spore Pod","Tusamircil","Wolverine Hall, Mages Guild","5","Drain Strength, Drain Fatigue, Detect Key, Paralyze","0.1","1"
"Spore Pod","Cienne Sintieve","Ald'ruhn, Cienne Sintieve: Alchemist","10","Drain Strength, Drain Fatigue, Detect Key, Paralyze","0.1","1"
"Spore Pod","Brarayni Sarys","Tel Aruhn, Tower Entry","5","Drain Strength, Drain Fatigue, Detect Key, Paralyze","0.1","1"
"Spore Pod","Ganalyn Saram","Vivec, Hlaalu Alchemist","5","Drain Strength, Drain Fatigue, Detect Key, Paralyze","0.1","1"
"Spore Pod","Ernand Thierry","Caldera, Guild of Mages","5","Drain Strength, Drain Fatigue, Detect Key, Paralyze","0.1","1"
"Stoneflower Petals","Bildren Areleth","Tel Aruhn, Bildren Areleth: Apothecary","10","Restore Strength, Fortify Magicka, Drain Luck, Fortify Personality","0.1","1"
"Stoneflower Petals","Mehra Drora","Gnisis, Temple","10","Restore Strength, Fortify Magicka, Drain Luck, Fortify Personality","0.1","1"
"Stoneflower Petals","Andil","Tel Vos, Services Tower","10","Restore Strength, Fortify Magicka, Drain Luck, Fortify Personality","0.1","1"
"Stoneflower Petals","Pierlette Rostorard","Sadrith Mora, Pierlette Rostorard: Apothecary","10","Restore Strength, Fortify Magicka, Drain Luck, Fortify Personality","0.1","1"
"Stoneflower Petals","Llathyno Hlaalu","Balmora, Temple","5","Restore Strength, Fortify Magicka, Drain Luck, Fortify Personality","0.1","1"
"Stoneflower Petals","Cocistian Quaspus","Buckmoth Legion Fort","5","Restore Strength, Fortify Magicka, Drain Luck, Fortify Personality","0.1","1"
"Stoneflower Petals","Galuro Belan","Vivec, Telvanni Apothecary","5","Restore Strength, Fortify Magicka, Drain Luck, Fortify Personality","0.1","1"
"Trama Root","Anis Seloth","Sadrith Mora, Anis Seloth: Alchemist","10","Restore Willpower, Levitate, Drain Magicka, Drain Speed","0.1","10"
"Trama Root","Nalcarya of White Haven","Balmora, Nalcarya of White Haven: Fine Alchemist","10","Restore Willpower, Levitate, Drain Magicka, Drain Speed","0.1","10"
"Trama Root","Dulian","Buckmoth Legion Fort, Interior","5","Restore Willpower, Levitate, Drain Magicka, Drain Speed","0.1","10"
"Trama Root","Tusamircil","Wolverine Hall, Mages Guild","10","Restore Willpower, Levitate, Drain Magicka, Drain Speed","0.1","10"
"Trama Root","Llathyno Hlaalu","Balmora, Temple","5","Restore Willpower, Levitate, Drain Magicka, Drain Speed","0.1","10"
"Trama Root","Gils Drelas","Tel Branora, Upper Tower: Therana's Chamber","5","Restore Willpower, Levitate, Drain Magicka, Drain Speed","0.1","10"
"Trama Root","Daynali Dren","Tel Mora, Lower Tower","10","Restore Willpower, Levitate, Drain Magicka, Drain Speed","0.1","10"
"Trama Root","Andilu Drothan","Vivec Foreign Quarter, Andilu Drothan: Alchemist","5","Restore Willpower, Levitate, Drain Magicka, Drain Speed","0.1","10"
"Vampire Dust","Brarayni Sarys","Tel Aruhn, Tower Entry","1","Fortify Health, Fortify Strength, Spell Absorption, Vampirism","0.1","500"
"Vampire Dust","Anarenen","Ald'ruhn, Guild of Mages","1","Fortify Health, Fortify Strength, Spell Absorption, Vampirism","0.1","500"
"Vampire Dust","Anis Seloth","Sadrith Mora, Anis Seloth: Alchemist","2","Fortify Health, Fortify Strength, Spell Absorption, Vampirism","0.1","500"
"Vampire Dust","Nalcarya of White Haven","Balmora, Nalcarya of White Haven: Fine Alchemist","1","Fortify Health, Fortify Strength, Spell Absorption, Vampirism","0.1","500"
"Violet Coprinus","Ernand Thierry","Caldera, Guild of Mages","5","Water Walking, Drain Fatigue, Poison","0.5","1"
"Violet Coprinus","Jolda","Tel Mora, Jolda: Apothecary","10","Water Walking, Drain Fatigue, Poison","0.5","1"
"Violet Coprinus","Cienne Sintieve","Ald'ruhn, Cienne Sintieve: Alchemist","5","Water Walking, Drain Fatigue, Poison","0.5","1"
"Violet Coprinus","Anis Seloth","Sadrith Mora, Anis Seloth: Alchemist","10","Water Walking, Drain Fatigue, Poison","0.5","1"
"Void Salts","Gils Drelas","Tel Branora, Upper Tower: Therana's Chamber","2","Restore Magicka, Spell Absorption, Paralyze, Drain Endurance","0.1","100"
"Void Salts","Nalcarya of White Haven","Balmora, Nalcarya of White Haven: Fine Alchemist","7","Restore Magicka, Spell Absorption, Paralyze, Drain Endurance","0.1","100"
"Void Salts","Cienne Sintieve","Ald'ruhn, Cienne Sintieve: Alchemist","5","Restore Magicka, Spell Absorption, Paralyze, Drain Endurance","0.1","100"
"Void Salts","Jolda","Tel Mora, Jolda: Apothecary","5","Restore Magicka, Spell Absorption, Paralyze, Drain Endurance","0.1","100"
"Void Salts","Garas Seloth","Vivec, Telvanni Alchemist","2","Restore Magicka, Spell Absorption, Paralyze, Drain Endurance","0.1","100"
"Wickwheat","Dralval Andrano","Balmora, Temple","5","Restore Health, Fortify Willpower, Paralyze, Damage Intelligence","0.1","1"
"Wickwheat","Garas Seloth","Vivec, Telvanni Alchemist","5","Restore Health, Fortify Willpower, Paralyze, Damage Intelligence","0.1","1"
"Wickwheat","Llarara Omayn","Balmora, Temple","5","Restore Health, Fortify Willpower, Paralyze, Damage Intelligence","0.1","1"
"Wickwheat","Chaplain Ogrul","Gnisis, Fort Darius","10","Restore Health, Fortify Willpower, Paralyze, Damage Intelligence","0.1","1"
"Wickwheat","Milar Maryon","Tel Vos, Services Tower","10","Restore Health, Fortify Willpower, Paralyze, Damage Intelligence","0.1","1"
"Wickwheat","Danoso Andrano","Ald'ruhn, Temple","10","Restore Health, Fortify Willpower, Paralyze, Damage Intelligence","0.1","1"
"Wickwheat","Threvul Serethi","Sadrith Mora, Thervul Serethi: Healer","10","Restore Health, Fortify Willpower, Paralyze, Damage Intelligence","0.1","1"
"Wickwheat","Irna Maryon","Tel Aruhn, Tower Entry","10","Restore Health, Fortify Willpower, Paralyze, Damage Intelligence","0.1","1"
"Wickwheat","Anis Seloth","Sadrith Mora, Anis Seloth: Alchemist","10","Restore Health, Fortify Willpower, Paralyze, Damage Intelligence","0.1","1"
"Willow Anther","Gils Drelas","Tel Branora, Upper Tower: Therana's Chamber","10","Drain Personality, Frost Shield, Cure Common Disease, Cure Paralyzation","0.1","10"
"Willow Anther","Daynali Dren","Tel Mora, Lower Tower","10","Drain Personality, Frost Shield, Cure Common Disease, Cure Paralyzation","0.1","10"
"Willow Anther","Anis Seloth","Sadrith Mora, Anis Seloth: Alchemist","10","Drain Personality, Frost Shield, Cure Common Disease, Cure Paralyzation","0.1","10"
"Willow Anther","Ajira","Balmora, Guild of Mages","5","Drain Personality, Frost Shield, Cure Common Disease, Cure Paralyzation","0.1","10"
"Willow Anther","Dulian","Buckmoth Legion Fort, Interior","5","Drain Personality, Frost Shield, Cure Common Disease, Cure Paralyzation","0.1","10"
"Willow Anther","Ganalyn Saram","Vivec, Hlaalu Alchemist","5","Drain Personality, Frost Shield, Cure Common Disease, Cure Paralyzation","0.1","10"
"Willow Anther","Llathyno Hlaalu","Balmora, Temple","5","Drain Personality, Frost Shield, Cure Common Disease, Cure Paralyzation","0.1","10"
